,Country,Population,Country Code,National Anthem
0,United States,331002651,US,The Star-Spangled Banner
1,China,1439323776,CN,March of the Volunteers
2,India,1380004385,IN,Jana Gana Mana
3,Brazil,212559417,BR,Hino Nacional Brasileiro
4,Pakistan,220892340,PK,Pak Sarzamin Shad Bad
5,Indonesia,273523615,ID,Indonesia Raya
6,Nigeria,206139589,NG, 
7,Bangladesh,164689383,BD,
8,Russia,145934462,RU,
9,Mexico,128932753,MX,
10,Japan,126476461,JP,Kimigayo
11,Ethiopia,114963588,ET,"Ethiopia, Be Happy!"
12,Philippines,109581078,PH,Lupang Hinirang
13,Egypt,102334404,EG,"Bilady, Bilady, Bilady"
14,Vietnam,97338579,VN,Ti?n Quân Ca
15,DR Congo,89561404,CD,Debout Congolais
16,Turkey,,TR,Istiklal Marsi
,,,,
18,Germany,83783942,DE,Deutschlandlied
19,Thailand,69799978,TH,Phleng Chat Thai
20,United Kingdom,67886011,GB,God Save the Queen
21,France,65273511,FR,La Marseillaise
22,Italy,60461826,IT,Il Canto degli Italiani
23,Tanzania,59734218,TZ,Mungu ibariki Afrika
24,South Africa,59308690,ZA,Nkosi Sikelel' iAfrika
25,Myanmar,54409800,MM,Kaba Ma Kyei
26,Kenya,53771296,KE,Ee Mungu Nguvu Yetu
27,South Korea,51269185,KR,Aegukga
28,Colombia,50882891,CO,"¡Oh, Gloria Inmarcesible!"
29,Spain,46754778,ES,Marcha Real
30,Uganda,45741007,UG,"Oh Uganda, Land of Beauty"
31,Argentina,45195774,AR,Himno Nacional Argentino
32,Algeria,43851044,DZ,Kassaman
33,Sudan,43849260,SD,Nahnu Djundulla Djundulwatan
34,Ukraine,43733762,UA,Shche ne vmerla Ukrainy
35,Iraq,40222493,IQ,Mawtini
36,Afghanistan,38928346,AF,Mi¯li Surud
37,Poland,37846611, ,Mazurek Dabrowskiego
38,Canada,37742154,CA,O Canada
39,Morocco,36910560,MA,
40,Saudi Arabia,34813871,SA,
41,Uzbekistan,33469203,UZ,O'zbekiston Respublikasining Davlat Madhiyasi
42,Peru, ,PE,Himno Nacional del Perú
43,Angola,32866272,AO,Angola Avante
44,Malaysia,32365999,MY,Negaraku
45,Mozambique,31255435,MZ,Pátria Amada
46,Ghana,31072940,GH,God Bless Our Homeland Ghana
47,Yemen,29825968,YE,
48,Nepal,29136808,NP,
